Index;Route_Instance;Supernet;Subnet;ASN;Destination_Interface;Router
0;inet.0;128.189.0.0/16;128.189.4.0/24;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
1;inet.0;128.189.0.0/16;128.189.5.0/24;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
2;inet.0;128.189.0.0/16;128.189.6.0/24;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
3;inet.0;128.189.0.0/16;128.189.16.0/20;393249;Adjacent Router;No;cr1.mgmt.kmlp8
4;inet.0;128.189.0.0/16;128.189.16.0/20;;Adjacent Router;No;cr1.mgmt.kmlp8
5;inet.0;128.189.0.0/16;128.189.64.0/19;393249;Adjacent Router;No;cr1.mgmt.kmlp8
6;inet.0;128.189.0.0/16;128.189.96.0/19;393249;Adjacent Router;No;cr1.mgmt.kmlp8
7;inet.0;128.189.0.0/16;128.189.128.0/18;393249;Adjacent Router;No;cr1.mgmt.kmlp8
8;inet.0;128.189.0.0/16;128.189.192.0/18;393249;Adjacent Router;No;cr1.mgmt.kmlp8
9;inet.2;128.189.0.0/16;128.189.4.0/24;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
10;inet.2;128.189.0.0/16;128.189.6.0/24;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
11;TRANSIT-KMLP8.inet.0;128.189.0.0/16;128.189.0.0/16;271;Adjacent Router;No;cr1.mgmt.kmlp8
12;TRANSIT-KMLP8.inet.0;128.189.0.0/16;128.189.4.0/24;271;lt-0/0/0.30;No;cr1.mgmt.kmlp8
13;TRANSIT-KMLP8.inet.0;128.189.0.0/16;128.189.5.0/24;271;lt-0/0/0.30;No;cr1.mgmt.kmlp8
14;TRANSIT-KMLP8.inet.0;128.189.0.0/16;128.189.6.0/24;271;lt-0/0/0.30;No;cr1.mgmt.kmlp8
15;TRANSIT-KMLP8.inet.0;128.189.0.0/16;128.189.16.0/20;393249;Adjacent Router;No;cr1.mgmt.kmlp8
16;TRANSIT-KMLP8.inet.0;128.189.0.0/16;128.189.16.0/20;;Adjacent Router;No;cr1.mgmt.kmlp8
17;TRANSIT-KMLP8.inet.0;128.189.0.0/16;128.189.64.0/19;393249;Adjacent Router;No;cr1.mgmt.kmlp8
18;TRANSIT-KMLP8.inet.0;128.189.0.0/16;128.189.96.0/19;393249;Adjacent Router;No;cr1.mgmt.kmlp8
19;TRANSIT-KMLP8.inet.0;128.189.0.0/16;128.189.128.0/18;393249;Adjacent Router;No;cr1.mgmt.kmlp8
20;TRANSIT-KMLP8.inet.0;128.189.0.0/16;128.189.192.0/18;393249;Adjacent Router;No;cr1.mgmt.kmlp8
21;IX-KMLP8.inet.0;128.189.0.0/16;128.189.4.0/24;271;lt-0/1/0.50;No;cr1.mgmt.kmlp8
22;IX-KMLP8.inet.0;128.189.0.0/16;128.189.5.0/24;271;lt-0/1/0.50;No;cr1.mgmt.kmlp8
23;IX-KMLP8.inet.0;128.189.0.0/16;128.189.6.0/24;271;lt-0/1/0.50;No;cr1.mgmt.kmlp8
24;IX-KMLP8.inet.0;128.189.0.0/16;128.189.16.0/20;393249;Adjacent Router;No;cr1.mgmt.kmlp8
25;IX-KMLP8.inet.0;128.189.0.0/16;128.189.16.0/20;;Adjacent Router;No;cr1.mgmt.kmlp8
26;IX-KMLP8.inet.0;128.189.0.0/16;128.189.64.0/19;393249;Adjacent Router;No;cr1.mgmt.kmlp8
27;IX-KMLP8.inet.0;128.189.0.0/16;128.189.96.0/19;393249;Adjacent Router;No;cr1.mgmt.kmlp8
28;IX-KMLP8.inet.0;128.189.0.0/16;128.189.128.0/18;393249;Adjacent Router;No;cr1.mgmt.kmlp8
29;IX-KMLP8.inet.0;128.189.0.0/16;128.189.192.0/18;393249;Adjacent Router;No;cr1.mgmt.kmlp8
30;inet.0;134.87.0.0/16;134.87.2.16/31;271;Adjacent Router;No;cr1.mgmt.kmlp8
31;inet.0;134.87.0.0/16;134.87.2.20/30;271;Adjacent Router;No;cr1.mgmt.kmlp8
32;inet.0;134.87.0.0/16;134.87.2.26/31;271;Adjacent Router;No;cr1.mgmt.kmlp8
33;inet.0;134.87.0.0/16;134.87.2.28/30;271;Adjacent Router;No;cr1.mgmt.kmlp8
34;inet.0;134.87.0.0/16;134.87.2.48/29;271;Adjacent Router;No;cr1.mgmt.kmlp8
35;inet.0;134.87.0.0/16;134.87.2.56/31;271;Adjacent Router;No;cr1.mgmt.kmlp8
36;inet.0;134.87.0.0/16;134.87.2.56/31;;Adjacent Router;No;cr1.mgmt.kmlp8
