Index;Route_Instance;Supernet;Subnet;ASN;Destination_Interface;Router
0;inet.0;128.189.0.0/16;128.189.4.0/24;271;Adjacent Router;No;cr1.mgmt.srry1
1;inet.0;128.189.0.0/16;128.189.4.0/24;;Adjacent Router;No;cr1.mgmt.srry1
2;inet.0;128.189.0.0/16;128.189.5.0/24;271;Adjacent Router;No;cr1.mgmt.srry1
3;inet.0;128.189.0.0/16;128.189.5.0/24;;Adjacent Router;No;cr1.mgmt.srry1
4;inet.0;128.189.0.0/16;128.189.6.0/24;271;Adjacent Router;No;cr1.mgmt.srry1
5;inet.0;128.189.0.0/16;128.189.6.0/24;;Adjacent Router;No;cr1.mgmt.srry1
6;inet.0;128.189.0.0/16;128.189.16.0/20;393249;Adjacent Router;No;cr1.mgmt.srry1
7;inet.0;128.189.0.0/16;128.189.64.0/19;393249;Adjacent Router;No;cr1.mgmt.srry1
8;inet.0;128.189.0.0/16;128.189.64.0/19;393249;Adjacent Router;No;cr1.mgmt.srry1
9;inet.0;128.189.0.0/16;128.189.96.0/19;393249;Adjacent Router;No;cr1.mgmt.srry1
10;inet.0;128.189.0.0/16;128.189.96.0/19;393249;Adjacent Router;No;cr1.mgmt.srry1
11;inet.0;128.189.0.0/16;128.189.128.0/18;393249;Adjacent Router;No;cr1.mgmt.srry1
12;inet.0;128.189.0.0/16;128.189.128.0/18;393249;Adjacent Router;No;cr1.mgmt.srry1
13;inet.0;128.189.0.0/16;128.189.192.0/18;393249;Adjacent Router;No;cr1.mgmt.srry1
14;inet.0;128.189.0.0/16;128.189.192.0/18;393249;Adjacent Router;No;cr1.mgmt.srry1
15;inet.2;128.189.0.0/16;128.189.4.0/24;271;Adjacent Router;No;cr1.mgmt.srry1
16;inet.2;128.189.0.0/16;128.189.4.0/24;;Adjacent Router;No;cr1.mgmt.srry1
17;inet.2;128.189.0.0/16;128.189.6.0/24;271;Adjacent Router;No;cr1.mgmt.srry1
18;inet.2;128.189.0.0/16;128.189.6.0/24;;Adjacent Router;No;cr1.mgmt.srry1
19;IX-SRRY1.inet.0;128.189.0.0/16;128.189.4.0/24;271;Adjacent Router;No;cr1.mgmt.srry1
20;IX-SRRY1.inet.0;128.189.0.0/16;128.189.4.0/24;;Adjacent Router;No;cr1.mgmt.srry1
21;IX-SRRY1.inet.0;128.189.0.0/16;128.189.5.0/24;271;Adjacent Router;No;cr1.mgmt.srry1
22;IX-SRRY1.inet.0;128.189.0.0/16;128.189.5.0/24;;Adjacent Router;No;cr1.mgmt.srry1
23;IX-SRRY1.inet.0;128.189.0.0/16;128.189.6.0/24;271;Adjacent Router;No;cr1.mgmt.srry1
24;IX-SRRY1.inet.0;128.189.0.0/16;128.189.6.0/24;;Adjacent Router;No;cr1.mgmt.srry1
25;IX-SRRY1.inet.0;128.189.0.0/16;128.189.16.0/20;393249;Adjacent Router;No;cr1.mgmt.srry1
26;IX-SRRY1.inet.0;128.189.0.0/16;128.189.64.0/19;393249;Adjacent Router;No;cr1.mgmt.srry1
27;IX-SRRY1.inet.0;128.189.0.0/16;128.189.64.0/19;393249;Adjacent Router;No;cr1.mgmt.srry1
28;IX-SRRY1.inet.0;128.189.0.0/16;128.189.96.0/19;393249;Adjacent Router;No;cr1.mgmt.srry1
29;IX-SRRY1.inet.0;128.189.0.0/16;128.189.96.0/19;393249;Adjacent Router;No;cr1.mgmt.srry1
30;IX-SRRY1.inet.0;128.189.0.0/16;128.189.128.0/18;393249;Adjacent Router;No;cr1.mgmt.srry1
31;IX-SRRY1.inet.0;128.189.0.0/16;128.189.128.0/18;393249;Adjacent Router;No;cr1.mgmt.srry1
32;IX-SRRY1.inet.0;128.189.0.0/16;128.189.192.0/18;393249;Adjacent Router;No;cr1.mgmt.srry1
33;IX-SRRY1.inet.0;128.189.0.0/16;128.189.192.0/18;393249;Adjacent Router;No;cr1.mgmt.srry1
34;TRANSIT-SRRY1.inet.0;128.189.0.0/16;128.189.0.0/16;271;Adjacent Router;No;cr1.mgmt.srry1
35;TRANSIT-SRRY1.inet.0;128.189.0.0/16;128.189.4.0/24;271;Adjacent Router;No;cr1.mgmt.srry1
36;TRANSIT-SRRY1.inet.0;128.189.0.0/16;128.189.4.0/24;;Adjacent Router;No;cr1.mgmt.srry1
37;TRANSIT-SRRY1.inet.0;128.189.0.0/16;128.189.5.0/24;271;Adjacent Router;No;cr1.mgmt.srry1
38;TRANSIT-SRRY1.inet.0;128.189.0.0/16;128.189.5.0/24;;Adjacent Router;No;cr1.mgmt.srry1
39;TRANSIT-SRRY1.inet.0;128.189.0.0/16;128.189.6.0/24;271;Adjacent Router;No;cr1.mgmt.srry1
40;TRANSIT-SRRY1.inet.0;128.189.0.0/16;128.189.6.0/24;;Adjacent Router;No;cr1.mgmt.srry1
