Index;Route_Instance;Supernet;Subnet;ASN;Destination_Interface;Router
0;inet.0;128.189.0.0/16;128.189.4.0/24;271;Adjacent Router;No;cr1.mgmt.vncv1
1;inet.0;128.189.0.0/16;128.189.5.0/24;271;Adjacent Router;No;cr1.mgmt.vncv1
2;inet.0;128.189.0.0/16;128.189.6.0/24;271;Adjacent Router;No;cr1.mgmt.vncv1
3;inet.0;128.189.0.0/16;128.189.16.0/20;393249;Adjacent Router;No;cr1.mgmt.vncv1
4;inet.0;128.189.0.0/16;128.189.64.0/19;393249;Adjacent Router;No;cr1.mgmt.vncv1
5;inet.0;128.189.0.0/16;128.189.96.0/19;393249;Adjacent Router;No;cr1.mgmt.vncv1
6;inet.0;128.189.0.0/16;128.189.128.0/18;393249;Adjacent Router;No;cr1.mgmt.vncv1
7;inet.0;128.189.0.0/16;128.189.192.0/18;393249;Adjacent Router;No;cr1.mgmt.vncv1
8;inet.2;128.189.0.0/16;128.189.4.0/24;271;Adjacent Router;No;cr1.mgmt.vncv1
9;inet.2;128.189.0.0/16;128.189.6.0/24;271;Adjacent Router;No;cr1.mgmt.vncv1
10;IX-VANTX1.inet.0;128.189.0.0/16;128.189.4.0/24;271;Adjacent Router;No;cr1.mgmt.vncv1
11;IX-VANTX1.inet.0;128.189.0.0/16;128.189.5.0/24;271;Adjacent Router;No;cr1.mgmt.vncv1
12;IX-VANTX1.inet.0;128.189.0.0/16;128.189.6.0/24;271;Adjacent Router;No;cr1.mgmt.vncv1
13;IX-VANTX1.inet.0;128.189.0.0/16;128.189.16.0/20;393249;Adjacent Router;No;cr1.mgmt.vncv1
14;IX-VANTX1.inet.0;128.189.0.0/16;128.189.16.0/20;393249;Adjacent Router;No;cr1.mgmt.vncv1
15;IX-VANTX1.inet.0;128.189.0.0/16;128.189.64.0/19;393249;Adjacent Router;No;cr1.mgmt.vncv1
16;IX-VANTX1.inet.0;128.189.0.0/16;128.189.96.0/19;393249;Adjacent Router;No;cr1.mgmt.vncv1
17;IX-VANTX1.inet.0;128.189.0.0/16;128.189.128.0/18;393249;Adjacent Router;No;cr1.mgmt.vncv1
18;IX-VANTX1.inet.0;128.189.0.0/16;128.189.192.0/18;393249;Adjacent Router;No;cr1.mgmt.vncv1
19;TRANSIT-VANTX1.inet.0;128.189.0.0/16;128.189.4.0/24;271;Adjacent Router;No;cr1.mgmt.vncv1
20;TRANSIT-VANTX1.inet.0;128.189.0.0/16;128.189.5.0/24;271;Adjacent Router;No;cr1.mgmt.vncv1
21;TRANSIT-VANTX1.inet.0;128.189.0.0/16;128.189.6.0/24;271;Adjacent Router;No;cr1.mgmt.vncv1
22;TRANSIT-VANTX1.inet.0;128.189.0.0/16;128.189.16.0/20;393249;Adjacent Router;No;cr1.mgmt.vncv1
23;TRANSIT-VANTX1.inet.0;128.189.0.0/16;128.189.64.0/19;393249;Adjacent Router;No;cr1.mgmt.vncv1
24;TRANSIT-VANTX1.inet.0;128.189.0.0/16;128.189.96.0/19;393249;Adjacent Router;No;cr1.mgmt.vncv1
25;TRANSIT-VANTX1.inet.0;128.189.0.0/16;128.189.128.0/18;393249;Adjacent Router;No;cr1.mgmt.vncv1
26;TRANSIT-VANTX1.inet.0;128.189.0.0/16;128.189.192.0/18;393249;Adjacent Router;No;cr1.mgmt.vncv1
27;inet.0;134.87.0.0/16;134.87.2.16/31;;Adjacent Router;No;cr1.mgmt.vncv1
28;inet.0;134.87.0.0/16;134.87.2.17/32;;Adjacent Router;Yes;cr1.mgmt.vncv1
29;inet.0;134.87.0.0/16;134.87.2.20/30;271;rlt0.40;No;cr1.mgmt.vncv1
30;inet.0;134.87.0.0/16;134.87.2.26/31;271;et-7/1/2.2987;No;cr1.mgmt.vncv1
31;inet.0;134.87.0.0/16;134.87.2.27/32;271;et-7/1/2.2987;Yes;cr1.mgmt.vncv1
32;inet.0;134.87.0.0/16;134.87.2.28/30;271;rlt0.40;No;cr1.mgmt.vncv1
33;inet.0;134.87.0.0/16;134.87.2.48/29;271;Adjacent Router;No;cr1.mgmt.vncv1
34;inet.0;134.87.0.0/16;134.87.2.56/31;271;Adjacent Router;No;cr1.mgmt.vncv1
35;inet.0;134.87.0.0/16;134.87.2.58/31;271;Adjacent Router;No;cr1.mgmt.vncv1
36;inet.0;134.87.0.0/16;134.87.2.60/31;271;Adjacent Router;No;cr1.mgmt.vncv1
37;inet.0;134.87.0.0/16;134.87.2.62/31;271;Adjacent Router;No;cr1.mgmt.vncv1
38;inet.0;134.87.0.0/16;134.87.2.64/31;271;rlt0.40;No;cr1.mgmt.vncv1
39;inet.0;134.87.0.0/16;134.87.2.65/32;271;rlt0.40;Yes;cr1.mgmt.vncv1
40;inet.0;134.87.0.0/16;134.87.2.68/30;271;Adjacent Router;No;cr1.mgmt.vncv1
41;inet.0;134.87.0.0/16;134.87.2.72/30;271;Adjacent Router;No;cr1.mgmt.vncv1
42;inet.0;134.87.0.0/16;134.87.2.76/30;271;Adjacent Router;No;cr1.mgmt.vncv1
43;inet.0;134.87.0.0/16;134.87.2.80/30;271;ge-1/1/9.74;No;cr1.mgmt.vncv1
44;inet.0;134.87.0.0/16;134.87.2.82/32;271;ge-1/1/9.74;Yes;cr1.mgmt.vncv1
45;inet.0;134.87.0.0/16;134.87.2.84/30;271;Adjacent Router;No;cr1.mgmt.vncv1
46;inet.0;134.87.0.0/16;134.87.2.128/29;271;Adjacent Router;No;cr1.mgmt.vncv1
47;inet.0;134.87.0.0/16;134.87.2.136/30;271;Adjacent Router;No;cr1.mgmt.vncv1
48;inet.0;134.87.0.0/16;134.87.2.140/30;271;Adjacent Router;No;cr1.mgmt.vncv1
49;inet.0;134.87.0.0/16;134.87.2.160/29;271;xe-2/0/2.83;No;cr1.mgmt.vncv1
50;inet.0;134.87.0.0/16;134.87.2.166/32;271;xe-2/0/2.83;Yes;cr1.mgmt.vncv1
51;inet.0;134.87.0.0/16;134.87.2.168/31;271;et-5/0/2.912;No;cr1.mgmt.vncv1
52;inet.0;134.87.0.0/16;134.87.2.169/32;271;et-5/0/2.912;Yes;cr1.mgmt.vncv1
53;inet.0;134.87.0.0/16;134.87.2.170/31;271;et-5/0/2.170;No;cr1.mgmt.vncv1
54;inet.0;134.87.0.0/16;134.87.2.171/32;271;et-5/0/2.170;Yes;cr1.mgmt.vncv1
55;inet.0;134.87.0.0/16;134.87.2.172/30;271;Adjacent Router;No;cr1.mgmt.vncv1
