Index;Route_Instance;Supernet;Subnet;ASN;AS_Path;Destination_Interface;Local;Router
1;inet.0;142.231.0.0/16;142.231.32.0/20;393249;393249;rlt0.33;No;cr1.mgmt.klwn1
2;inet.0;142.231.0.0/16;142.231.64.0/19;393249;393249;rlt0.33;No;cr1.mgmt.klwn1
3;mgmt_junos.inet.0;142.231.0.0/16;142.231.144.0/20;271;271;fxp0.0;No;cr1.mgmt.klwn1
4;mgmt_junos.inet.0;142.231.0.0/16;142.231.149.0/24;271;271;fxp0.0;No;cr1.mgmt.klwn1
5;mgmt_junos.inet.0;142.231.0.0/16;142.231.149.0/24;271;271;fxp0.0;No;cr1.mgmt.klwn1
6;mgmt_junos.inet.0;142.231.0.0/16;142.231.149.2/32;271;271;fxp0.0;Yes;cr1.mgmt.klwn1
7;mgmt_junos.inet.0;142.231.0.0/16;142.231.149.3/32;271;271;fxp0.0;Yes;cr1.mgmt.klwn1
8;TRANSIT-KELTX1.inet.0;142.231.0.0/16;142.231.32.0/20;393249;393249;xe-5/1/1.0;No;cr1.mgmt.klwn1
9;TRANSIT-KELTX1.inet.0;142.231.0.0/16;142.231.64.0/19;393249;393249;xe-5/1/1.0;No;cr1.mgmt.klwn1
10;MANLAN.inet.0;142.231.0.0/16;142.231.149.0/24;271;271;ge-4/3/9.654;No;cr1.mgmt.klwn1
11;IX-KLWN1.inet.0;142.231.0.0/16;142.231.32.0/20;393249;393249;rlt0.35;No;cr1.mgmt.klwn1
12;IX-KLWN1.inet.0;142.231.0.0/16;142.231.64.0/19;393249;393249;rlt0.35;No;cr1.mgmt.klwn1
13;TRANSIT-KELTX1.inet.0;192.219.32.0/19;192.219.32.0/19;577;6327 577;xe-5/1/0.0;No;cr1.mgmt.klwn1
14;TRANSIT-KELTX1.inet.0;192.219.32.0/19;192.219.32.0/19;577;852 577;xe-3/0/0.0;No;cr1.mgmt.klwn1
15;inet.0;206.12.0.0/16;206.12.0.6/32;271;271;lo0.0;Yes;cr1.mgmt.klwn1
16;inet.0;206.12.0.0/16;206.12.116.0/24;393249;393249;xe-5/3/1.3553;No;cr1.mgmt.klwn1
17;inet.2;206.12.0.0/16;206.12.0.6/32;271;271;lo0.0;Yes;cr1.mgmt.klwn1
18;TRANSIT-KELTX1.inet.0;206.12.0.0/16;206.12.82.0/24;25668;6327 25668;xe-5/1/0.0;No;cr1.mgmt.klwn1
19;TRANSIT-KELTX1.inet.0;206.12.0.0/16;206.12.82.0/24;25668;852 6939 25668;xe-3/0/0.0;No;cr1.mgmt.klwn1
20;TRANSIT-KELTX1.inet.0;206.12.0.0/16;206.12.153.0/24;20473;6327 1299 20473;xe-5/1/0.0;No;cr1.mgmt.klwn1
